Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
"Laptop MSI Summit E13 Flip Evo A11MT- 220VN i7 1185G7/16GB/1TB SSD/13.4""FHD/Win 10 (No.00764754)",39999000,MSI,Intel Core i7-1185G7 4.80 GHz,16,13.4,Intel Iris Xe Graphics,SDD,1000,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-summit-e13-flip-evo-a11mt-i7-1185g7
Laptop MSI Prestige 15 A11SC 037VN i7 1185G7/16GB/512GB/15.6FHD/GTX 1650 Max-Q 4GB/Win 10 (No.00774425),34999000,MSI,Intel Core i7-1185G7 4.80 GHz,16,15.6,NVIDIA GeForce GTX 1650 Max-Q 4 GB & Intel UHD Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-prestige-15-a11sc-037vn-i7-1185g7
"Laptop Asus FLow Gaming GV301QC-K6052T R9 5900HS/16GB/512GB SSD/13.4""Touch/RTX 3050 4GB/Win10 (No.00772281)",39999000,Asus,AMD Ryzen 9-5900HX 4.6GHz,16,13.4,NVIDIA GeForce RTX 3050 4GB & AMD Radeon Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-flow-gaming-gv301qc-k6052t-r9-5900hs
Laptop ASUS Gaming Zephyrus GA401IHR-HZ009T R7 4800HS/8GB/512GB SSD/GTX 1650 4GB/Win10 (No.00774631),27999000,Asus,AMD Ryzen 7-4800HS 4.2GHz,8,14,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,SDD,512,Window,1.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-zephyrus-ga401ihr-hz009t-r7-4800hs
Laptop Acer Triton Gaming PT315-53-75LQ i7 11800H/ 16GB/512GB SSD/RTX3060 6G/Win10 (No.00773092),44990000,Acer,Intel Core i7-11800H 4.60 GHz,16,15.6,NVIDIA GeForce RTX 3060 6GB,SDD,512,Window,2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-triton-gaming-pt315-53-75lq-i7-11800h
Laptop Asus Vivobook X515EA-BQ1004T i3 1115G4/4GB/512GB SSD/Win10 (No.00773700),14199000,Asus,Intel Core i3-1115G4 4.10 GHz,4,15.6,Intel UHD Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-bq1004t-i3-1115g4
"MacBook Pro 13"" 2020 Touch Bar 2.0GHz Core i5 512GB (No.00694878)",46999000,Macbook,Intel Core i5-10th-gen 4.30 GHz,16,13.3,Intel Iris Plus Graphics,SDD,512,Mac OS,1.4,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-13-2020-2-0-ghz-i5-512gb
Laptop Lenovo ThinkPad X1 Nano i5 1130G7/16GB/512GB/13”2K 450N SRGB/Win 10 (No.00756318),49999000,Lenovo,Intel Core i5-1130G7 4GHz,16,13,Intel Iris Xe Graphics,SDD,512,Window,0.9,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-x1-nano-i5-1130g7
Laptop Acer Triton Gaming PT315-53-71DJ i7 11800H/16GB/512GB SSD/RTX 3070 8GB/Win10 (No.00774531),50999000,Acer,Intel Core i7-11800H 4.60 GHz,16,15.6,NVIDIA GeForce RTX 3070 8GB,SDD,512,Window,2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-triton-gaming-pt315-53-71dj-i7-11800h
Laptop Lenovo ThinkPad X1 Carbon 9 i5 1135G7/16GB/512GB/14”WUXGA/Win 10 Pro (No.00779954),47999000,Lenovo,Intel Core i5-1135G7 4.2GHz,16,14,Intel Iris Xe Graphics,SDD,512,Window,1.1,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-x1-carbon-9-i5-1135g7
"Laptop HP Gaming OMEN 16 b0141TX i5 11400H/16GB/1TB SSD + 32GB/RTX 3060 6GB/16.1""FHD/Win 10 (No.00773272)",43999000,HP,Intel Core i5-11400H 4.50 GHz,16,16.1,NVIDIA GeForce RTX 3060 6GB,SDD,1000,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-omen-16-b0141tx-i5-11400h
Laptop Asus Zenbook UX371EA-HL494TS i7 1165G7/16GB/1TB SSD/13.3''OLED Touch/Win10+OfficeHome&Student (No.00781234),41999000,Asus,Intel Core i7-1165G7 4.70 GHz,16,13.3,Intel Iris Xe Graphics,SDD,1000,Window,1.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux371ea-hl494ts-i7-1165g7
"MacBook Pro 13"" 2020 Touch Bar M1 16GB/256GB (No.00731803)",39999000,Macbook,Apple M1 3.2GHz,16,13.3,M1 8-Core GPU,SDD,256,Mac OS,1.4,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-13-2020-touch-bar-m1-ram-16gb?dung-luong=256gb
"Laptop HP Gaming OMEN 16 b0142TX i5 11400H/16GB/1TB SSD+32GB/RTX 3050Ti 4GB/16.1""FHD/Win 10 (No.00773273)",39999000,HP,Intel Core i5-11400H 4.50 GHz,16,16.1,NVIDIA GeForce RTX 3050Ti 4 GB,SDD,1000,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-omen-16-b0142tx-i5-11400h
