id,brand,cpu,cpu_GHz,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,since,shop,price,url
195,MACBOOK,Apple M1,3.2,Apple,8,13.3,M1 GPU,M1,256,SDD,Mac OS,1.3,2020,Dienmayxanh,26040000,https://www.dienmayxanh.com/laptop/apple-macbook-air-2020-mgn63saa?src=osp
196,ASUS,Intel i5,2.7,Intel,8,17.3,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.6,2021,Dienmayxanh,25990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx706hc-i5-hx003t?src=osp
197,DELL,Intel i5,2.5,Intel,8,14.0,NVIDIA GeForce MX,NVIDIA,1000,SDD,Window,1.7,2021,Dienmayxanh,25920000,https://www.dienmayxanh.com/laptop/dell-inspiron-14-5410-i5-n4i5547w?src=osp
198,GIGABYTE,Intel i5,2.7,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,25640000,https://www.dienmayxanh.com/laptop/gigabyte-g5-i5-gd51s1123sh?src=osp
199,ACER,Intel i5,2.7,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,25490000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-50ft-i5-nhqd8sv003?src=osp
200,ASUS,AMD Ryzen 5,3.3,AMD,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,1.7,2021,Dienmayxanh,25260000,https://www.dienmayxanh.com/laptop/asus-vivobook-pro-15-oled-m3500qc-r5-l1105t?src=osp
201,GIGABYTE,Intel i5,2.7,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,24990000,https://www.dienmayxanh.com/laptop/gigabyte-g5-i5-51s1121sh?src=osp
202,ASUS,Intel i5,2.7,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.3,2021,Dienmayxanh,24990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn139t?src=osp
203,ASUS,Intel i5,2.7,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2020,Dienmayxanh,24990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx506hc-i5-hn002t?src=osp
204,ACER,Intel i5,2.7,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,24960000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-54mv-i5-nhqensv003?src=osp
